# task phrase, the way it is really said	expected Routing Map row (the Task column, verbatim)
I finished researching India's identity stack, publish it as a reading	File a reading
file this country profile in Vietnamese	File a reading
correct the title and add a source to the reading I filed yesterday, bump the revision	Revise a reading
write today's build diary entry, I retired the sample readings	Write the build diary
add a new project to the portfolio with a profile page	Add a project
change the home and the readings index	Change the site
the filing endpoint returns 401, fix the worker	Change the site
the diary section on the sonar page fills the whole page, make each entry its own page	Change the site
the spacing and colour of the cards on dark mode look wrong on the phone	Design work
why did my push not publish, the workflow is red and a secret is missing	Deploy, secrets, CI
how do subscribers get the weekly digest and the unsubscribe link	Sonar by email
which runtime owns the research, what may Fred do, and how do I onboard a new agent	The stack, who decides, the team
how do I reach gbrain and which slug holds the decision	The brain
